periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 515 Rev 2020_Number of over 5 years cases with fever for less than 7 days,MOH 515 Rev 2020_Number of under 5 years cases with fever for less than 7 days
202208,Aug-22,202208,,yhCUgGcCcOo,Machakos County,KE_County_16,,19,41
202208,Aug-22,202208,,ptWVfaCIdVx,Nyeri County,KE_County_19,,8,27
202308,Aug-23,202308,,xuFdFy6t9AH,Laikipia County,KE_County_31,,27,29
202308,Aug-23,202308,,t0J75eHKxz5,Nandi County,KE_County_29,,223,62
202308,Aug-23,202308,,kphDeKClFch,Turkana County,KE_County_23,,3528,2137
202308,Aug-23,202308,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,83,17
202308,Aug-23,202308,,ahwTMNAJvrL,Muranga County,KE_County_21,,28,108
202308,Aug-23,202308,,ob6SxuRcqU4,Nakuru County,KE_County_32,,350,448
202308,Aug-23,202308,,mYZacFNIB3h,Nyandarua County,KE_County_18,,3,9
202308,Aug-23,202308,,ihZsJ8alvtb,Kericho County,KE_County_35,,160,194
202308,Aug-23,202308,,uepLTG8wGWJ,Nyamira County,KE_County_46,,1972,396
202308,Aug-23,202308,,u4t9H8XyU9P,Siaya County,KE_County_41,,8273,5736
202308,Aug-23,202308,,mThvosEflAU,Trans Nzoia County,KE_County_26,,4,5
202308,Aug-23,202308,,PFu8alU2KWG,Embu County,KE_County_14,,20,48
202308,Aug-23,202308,,R6f9znhg37c,Mandera County,KE_County_9,,166,238
202308,Aug-23,202308,,BjC1xL40gHo,Kakamega County,KE_County_37,,16444,5091
202308,Aug-23,202308,,XWALbfAPa6n,West Pokot County,KE_County_24,,359,270
202308,Aug-23,202308,,kqJ83J2D72s,Narok County,KE_County_33,,517,586
202308,Aug-23,202308,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,90,29
202308,Aug-23,202308,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,15,18
202308,Aug-23,202308,,jkG3zaihdSs,Nairobi County,KE_County_47,,105,205
202308,Aug-23,202308,,BoDytkJQ4Qi,Makueni County,KE_County_17,,63,99
202308,Aug-23,202308,,uyOrcHZBpW0,Garissa County,KE_County_7,,214,255
202308,Aug-23,202308,,nrI2khZx3d0,Kilifi County,KE_County_3,,29,114
202308,Aug-23,202308,,JsH2bnvNt2d,Tana River County,KE_County_4,,880,229
202308,Aug-23,202308,,NjWSbQTwys4,Lamu County,KE_County_5,,2,
202308,Aug-23,202308,,sPkRcDvhGWA,Kisii County,KE_County_45,,1753,995
202308,Aug-23,202308,,sANMZ3lpqGs,Vihiga County,KE_County_38,,5839,1212
202308,Aug-23,202308,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,10700,3874
202308,Aug-23,202308,,vvOK1BxTbet,Baringo County,KE_County_30,,589,396
202308,Aug-23,202308,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,65,99
202308,Aug-23,202308,,CeLsrJOH0g9,Wajir County,KE_County_8,,33,61
202308,Aug-23,202308,,o36zCRjSd4G,Samburu County,KE_County_25,,220,151
202308,Aug-23,202308,,wsBsC6gjHvn,Mombasa County,KE_County_1,,52,57
202308,Aug-23,202308,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,11599,4836
202308,Aug-23,202308,,Y52XNJ50hYb,Meru County,KE_County_12,,49,147
202308,Aug-23,202308,,j8o6iO4Njsi,Kitui County,KE_County_15,,44,144
202308,Aug-23,202308,,HMNARUV2CW4,Bomet County,KE_County_36,,15,12
202308,Aug-23,202308,,Eey8fT4Im3y,Marsabit County,KE_County_10,,135,128
202308,Aug-23,202308,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,213,284
202308,Aug-23,202308,,bzOfj0iwfDH,Isiolo County,KE_County_11,,81,208
202308,Aug-23,202308,,Tvf1zgVZ0K4,Busia County,KE_County_40,,23383,20047
202308,Aug-23,202308,,tAbBVBbueqD,Kisumu County,KE_County_42,,9871,14932
202308,Aug-23,202308,,fVra3Pwta0Q,Migori County,KE_County_44,,6258,3053
202308,Aug-23,202308,,qKzosKQPl6G,Kiambu County,KE_County_22,,97,155
202308,Aug-23,202308,,ptWVfaCIdVx,Nyeri County,KE_County_19,,11,16
202308,Aug-23,202308,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,,37
202308,Aug-23,202308,,yhCUgGcCcOo,Machakos County,KE_County_16,,14,13
202308,Aug-23,202308,,N7YETT3A9r1,Kwale County,KE_County_2,,214,235
202408,Aug-24,202408,,Eey8fT4Im3y,Marsabit County,KE_County_10,,240,189
202408,Aug-24,202408,,BoDytkJQ4Qi,Makueni County,KE_County_17,,612,872
202408,Aug-24,202408,,j8o6iO4Njsi,Kitui County,KE_County_15,,508,484
202408,Aug-24,202408,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,82,76
202408,Aug-24,202408,,sANMZ3lpqGs,Vihiga County,KE_County_38,,5679,3326
202408,Aug-24,202408,,vvOK1BxTbet,Baringo County,KE_County_30,,613,486
202408,Aug-24,202408,,HMNARUV2CW4,Bomet County,KE_County_36,,24,45
202408,Aug-24,202408,,Y52XNJ50hYb,Meru County,KE_County_12,,251,347
202408,Aug-24,202408,,NjWSbQTwys4,Lamu County,KE_County_5,,11,26
202408,Aug-24,202408,,nrI2khZx3d0,Kilifi County,KE_County_3,,297,392
202408,Aug-24,202408,,uyOrcHZBpW0,Garissa County,KE_County_7,,133,120
202408,Aug-24,202408,,kphDeKClFch,Turkana County,KE_County_23,,2173,1748
202408,Aug-24,202408,,o36zCRjSd4G,Samburu County,KE_County_25,,235,244
202408,Aug-24,202408,,wsBsC6gjHvn,Mombasa County,KE_County_1,,71,142
202408,Aug-24,202408,,CeLsrJOH0g9,Wajir County,KE_County_8,,39,62
202408,Aug-24,202408,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,9778,4102
202408,Aug-24,202408,,R6f9znhg37c,Mandera County,KE_County_9,,25,35
202408,Aug-24,202408,,jkG3zaihdSs,Nairobi County,KE_County_47,,,685
202408,Aug-24,202408,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,87,96
202408,Aug-24,202408,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,50,49
202408,Aug-24,202408,,sPkRcDvhGWA,Kisii County,KE_County_45,,2550,1669
202408,Aug-24,202408,,JsH2bnvNt2d,Tana River County,KE_County_4,,729,312
202408,Aug-24,202408,,mYZacFNIB3h,Nyandarua County,KE_County_18,,1,11
202408,Aug-24,202408,,fVra3Pwta0Q,Migori County,KE_County_44,,3205,3650
202408,Aug-24,202408,,Tvf1zgVZ0K4,Busia County,KE_County_40,,13632,13439
202408,Aug-24,202408,,uepLTG8wGWJ,Nyamira County,KE_County_46,,1534,312
202408,Aug-24,202408,,qKzosKQPl6G,Kiambu County,KE_County_22,,20,335
202408,Aug-24,202408,,ihZsJ8alvtb,Kericho County,KE_County_35,,246,387
202408,Aug-24,202408,,ahwTMNAJvrL,Muranga County,KE_County_21,,34,134
202408,Aug-24,202408,,kqJ83J2D72s,Narok County,KE_County_33,,327,519
202408,Aug-24,202408,,bzOfj0iwfDH,Isiolo County,KE_County_11,,97,188
202408,Aug-24,202408,,BjC1xL40gHo,Kakamega County,KE_County_37,,15376,6753
202408,Aug-24,202408,,XWALbfAPa6n,West Pokot County,KE_County_24,,668,630
202408,Aug-24,202408,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,132,86
202408,Aug-24,202408,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,406,497
202408,Aug-24,202408,,xuFdFy6t9AH,Laikipia County,KE_County_31,,38,148
202408,Aug-24,202408,,mThvosEflAU,Trans Nzoia County,KE_County_26,,169,367
202408,Aug-24,202408,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,10788,3850
202408,Aug-24,202408,,PFu8alU2KWG,Embu County,KE_County_14,,21,42
202408,Aug-24,202408,,ptWVfaCIdVx,Nyeri County,KE_County_19,,2,1
202408,Aug-24,202408,,ob6SxuRcqU4,Nakuru County,KE_County_32,,789,478
202408,Aug-24,202408,,u4t9H8XyU9P,Siaya County,KE_County_41,,13268,6289
202408,Aug-24,202408,,t0J75eHKxz5,Nandi County,KE_County_29,,70,326
202408,Aug-24,202408,,tAbBVBbueqD,Kisumu County,KE_County_42,,4183,5418
202408,Aug-24,202408,,yhCUgGcCcOo,Machakos County,KE_County_16,,,1
202408,Aug-24,202408,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,66,59
202408,Aug-24,202408,,N7YETT3A9r1,Kwale County,KE_County_2,,1490,1391
202112,Dec-21,202112,,tAbBVBbueqD,Kisumu County,KE_County_42,,3917,6677
202112,Dec-21,202112,,sPkRcDvhGWA,Kisii County,KE_County_45,,615,423
202112,Dec-21,202112,,ob6SxuRcqU4,Nakuru County,KE_County_32,,183,360
202112,Dec-21,202112,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,37,33
202112,Dec-21,202112,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,11,8
202112,Dec-21,202112,,PFu8alU2KWG,Embu County,KE_County_14,,21,32
202112,Dec-21,202112,,u4t9H8XyU9P,Siaya County,KE_County_41,,8849,5923
202112,Dec-21,202112,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,176,52
202112,Dec-21,202112,,Eey8fT4Im3y,Marsabit County,KE_County_10,,67,147
202112,Dec-21,202112,,kphDeKClFch,Turkana County,KE_County_23,,2129,1236
202112,Dec-21,202112,,j8o6iO4Njsi,Kitui County,KE_County_15,,,2
202112,Dec-21,202112,,vvOK1BxTbet,Baringo County,KE_County_30,,132,109
202112,Dec-21,202112,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,2521,1626
202112,Dec-21,202112,,kqJ83J2D72s,Narok County,KE_County_33,,228,270
202112,Dec-21,202112,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,169,167
202112,Dec-21,202112,,JsH2bnvNt2d,Tana River County,KE_County_4,,521,636
202112,Dec-21,202112,,R6f9znhg37c,Mandera County,KE_County_9,,69,130
202112,Dec-21,202112,,BoDytkJQ4Qi,Makueni County,KE_County_17,,40,29
202112,Dec-21,202112,,nrI2khZx3d0,Kilifi County,KE_County_3,,74,102
202112,Dec-21,202112,,BjC1xL40gHo,Kakamega County,KE_County_37,,6510,3443
202112,Dec-21,202112,,uyOrcHZBpW0,Garissa County,KE_County_7,,344,254
202112,Dec-21,202112,,jkG3zaihdSs,Nairobi County,KE_County_47,,73,108
202112,Dec-21,202112,,Y52XNJ50hYb,Meru County,KE_County_12,,130,143
202112,Dec-21,202112,,CeLsrJOH0g9,Wajir County,KE_County_8,,8,125
202112,Dec-21,202112,,wsBsC6gjHvn,Mombasa County,KE_County_1,,85,116
202112,Dec-21,202112,,Tvf1zgVZ0K4,Busia County,KE_County_40,,10215,10838
202112,Dec-21,202112,,o36zCRjSd4G,Samburu County,KE_County_25,,62,53
202112,Dec-21,202112,,mThvosEflAU,Trans Nzoia County,KE_County_26,,342,169
202112,Dec-21,202112,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,913,758
202112,Dec-21,202112,,mYZacFNIB3h,Nyandarua County,KE_County_18,,3,24
202112,Dec-21,202112,,XWALbfAPa6n,West Pokot County,KE_County_24,,81,62
202112,Dec-21,202112,,HMNARUV2CW4,Bomet County,KE_County_36,,32,25
202112,Dec-21,202112,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,4185,1940
202112,Dec-21,202112,,bzOfj0iwfDH,Isiolo County,KE_County_11,,319,1139
202112,Dec-21,202112,,ahwTMNAJvrL,Muranga County,KE_County_21,,208,168
202112,Dec-21,202112,,ihZsJ8alvtb,Kericho County,KE_County_35,,211,96
202112,Dec-21,202112,,yhCUgGcCcOo,Machakos County,KE_County_16,,39,54
202112,Dec-21,202112,,sANMZ3lpqGs,Vihiga County,KE_County_38,,4261,1092
202112,Dec-21,202112,,uepLTG8wGWJ,Nyamira County,KE_County_46,,728,67
202112,Dec-21,202112,,fVra3Pwta0Q,Migori County,KE_County_44,,2211,1484
202112,Dec-21,202112,,qKzosKQPl6G,Kiambu County,KE_County_22,,181,221
202112,Dec-21,202112,,t0J75eHKxz5,Nandi County,KE_County_29,,434,99
202112,Dec-21,202112,,ptWVfaCIdVx,Nyeri County,KE_County_19,,8,22
202112,Dec-21,202112,,N7YETT3A9r1,Kwale County,KE_County_2,,14,3
202112,Dec-21,202112,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,15,38
202212,Dec-22,202212,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,197,264
202212,Dec-22,202212,,bzOfj0iwfDH,Isiolo County,KE_County_11,,116,295
202212,Dec-22,202212,,mThvosEflAU,Trans Nzoia County,KE_County_26,,48,32
202212,Dec-22,202212,,kqJ83J2D72s,Narok County,KE_County_33,,72,215
202212,Dec-22,202212,,wsBsC6gjHvn,Mombasa County,KE_County_1,,14,21
202212,Dec-22,202212,,ihZsJ8alvtb,Kericho County,KE_County_35,,80,106
202212,Dec-22,202212,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,22,44
202212,Dec-22,202212,,JsH2bnvNt2d,Tana River County,KE_County_4,,602,346
202212,Dec-22,202212,,jkG3zaihdSs,Nairobi County,KE_County_47,,92,214
202212,Dec-22,202212,,R6f9znhg37c,Mandera County,KE_County_9,,172,183
202212,Dec-22,202212,,ahwTMNAJvrL,Muranga County,KE_County_21,,6,84
202212,Dec-22,202212,,N7YETT3A9r1,Kwale County,KE_County_2,,163,155
202212,Dec-22,202212,,yhCUgGcCcOo,Machakos County,KE_County_16,,39,68
202212,Dec-22,202212,,o36zCRjSd4G,Samburu County,KE_County_25,,110,104
202212,Dec-22,202212,,Y52XNJ50hYb,Meru County,KE_County_12,,58,128
202212,Dec-22,202212,,ptWVfaCIdVx,Nyeri County,KE_County_19,,3,29
202212,Dec-22,202212,,j8o6iO4Njsi,Kitui County,KE_County_15,,14,41
202212,Dec-22,202212,,vvOK1BxTbet,Baringo County,KE_County_30,,267,315
202212,Dec-22,202212,,qKzosKQPl6G,Kiambu County,KE_County_22,,104,247
202212,Dec-22,202212,,tAbBVBbueqD,Kisumu County,KE_County_42,,5776,10120
202212,Dec-22,202212,,u4t9H8XyU9P,Siaya County,KE_County_41,,11017,5894
202212,Dec-22,202212,,ob6SxuRcqU4,Nakuru County,KE_County_32,,156,282
202212,Dec-22,202212,,fVra3Pwta0Q,Migori County,KE_County_44,,3951,1841
202212,Dec-22,202212,,uepLTG8wGWJ,Nyamira County,KE_County_46,,720,23
202212,Dec-22,202212,,Tvf1zgVZ0K4,Busia County,KE_County_40,,19099,14445
202212,Dec-22,202212,,sANMZ3lpqGs,Vihiga County,KE_County_38,,4316,1072
202212,Dec-22,202212,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,12,4
202212,Dec-22,202212,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,12,17
202212,Dec-22,202212,,Eey8fT4Im3y,Marsabit County,KE_County_10,,76,149
202212,Dec-22,202212,,BoDytkJQ4Qi,Makueni County,KE_County_17,,88,88
202212,Dec-22,202212,,sPkRcDvhGWA,Kisii County,KE_County_45,,1182,769
202212,Dec-22,202212,,nrI2khZx3d0,Kilifi County,KE_County_3,,86,104
202212,Dec-22,202212,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,49,8
202212,Dec-22,202212,,t0J75eHKxz5,Nandi County,KE_County_29,,225,60
202212,Dec-22,202212,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,77,89
202212,Dec-22,202212,,PFu8alU2KWG,Embu County,KE_County_14,,11,20
202212,Dec-22,202212,,HMNARUV2CW4,Bomet County,KE_County_36,,2,2
202212,Dec-22,202212,,CeLsrJOH0g9,Wajir County,KE_County_8,,60,57
202212,Dec-22,202212,,NjWSbQTwys4,Lamu County,KE_County_5,,,1
202212,Dec-22,202212,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,4354,2333
202212,Dec-22,202212,,uyOrcHZBpW0,Garissa County,KE_County_7,,290,245
202212,Dec-22,202212,,xuFdFy6t9AH,Laikipia County,KE_County_31,,125,60
202212,Dec-22,202212,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,5615,2046
202212,Dec-22,202212,,XWALbfAPa6n,West Pokot County,KE_County_24,,101,126
202212,Dec-22,202212,,mYZacFNIB3h,Nyandarua County,KE_County_18,,,3
202212,Dec-22,202212,,BjC1xL40gHo,Kakamega County,KE_County_37,,10063,3885
202212,Dec-22,202212,,kphDeKClFch,Turkana County,KE_County_23,,1340,1270
202312,Dec-23,202312,,ob6SxuRcqU4,Nakuru County,KE_County_32,,347,211
202312,Dec-23,202312,,nrI2khZx3d0,Kilifi County,KE_County_3,,52,113
202312,Dec-23,202312,,PFu8alU2KWG,Embu County,KE_County_14,,6,24
202312,Dec-23,202312,,tAbBVBbueqD,Kisumu County,KE_County_42,,5620,13809
202312,Dec-23,202312,,sPkRcDvhGWA,Kisii County,KE_County_45,,2332,1259
202312,Dec-23,202312,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,,3
202312,Dec-23,202312,,xuFdFy6t9AH,Laikipia County,KE_County_31,,132,80
202312,Dec-23,202312,,ahwTMNAJvrL,Muranga County,KE_County_21,,32,87
202312,Dec-23,202312,,t0J75eHKxz5,Nandi County,KE_County_29,,60,15
202312,Dec-23,202312,,Eey8fT4Im3y,Marsabit County,KE_County_10,,93,220
202312,Dec-23,202312,,fVra3Pwta0Q,Migori County,KE_County_44,,3770,3150
202312,Dec-23,202312,,mThvosEflAU,Trans Nzoia County,KE_County_26,,4,4
202312,Dec-23,202312,,qKzosKQPl6G,Kiambu County,KE_County_22,,108,153
202312,Dec-23,202312,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,12,24
202312,Dec-23,202312,,yhCUgGcCcOo,Machakos County,KE_County_16,,28,44
202312,Dec-23,202312,,j8o6iO4Njsi,Kitui County,KE_County_15,,29,56
202312,Dec-23,202312,,vvOK1BxTbet,Baringo County,KE_County_30,,242,352
202312,Dec-23,202312,,bzOfj0iwfDH,Isiolo County,KE_County_11,,102,307
202312,Dec-23,202312,,uepLTG8wGWJ,Nyamira County,KE_County_46,,1550,210
202312,Dec-23,202312,,Tvf1zgVZ0K4,Busia County,KE_County_40,,13045,14849
202312,Dec-23,202312,,u4t9H8XyU9P,Siaya County,KE_County_41,,8098,5215
202312,Dec-23,202312,,sANMZ3lpqGs,Vihiga County,KE_County_38,,3203,725
202312,Dec-23,202312,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,205,212
202312,Dec-23,202312,,Y52XNJ50hYb,Meru County,KE_County_12,,101,149
202312,Dec-23,202312,,ptWVfaCIdVx,Nyeri County,KE_County_19,,7,15
202312,Dec-23,202312,,CeLsrJOH0g9,Wajir County,KE_County_8,,69,68
202312,Dec-23,202312,,NjWSbQTwys4,Lamu County,KE_County_5,,2,9
202312,Dec-23,202312,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,9115,3022
202312,Dec-23,202312,,wsBsC6gjHvn,Mombasa County,KE_County_1,,10,23
202312,Dec-23,202312,,o36zCRjSd4G,Samburu County,KE_County_25,,56,142
202312,Dec-23,202312,,uyOrcHZBpW0,Garissa County,KE_County_7,,203,208
202312,Dec-23,202312,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,10288,3997
202312,Dec-23,202312,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,37,75
202312,Dec-23,202312,,R6f9znhg37c,Mandera County,KE_County_9,,107,157
202312,Dec-23,202312,,N7YETT3A9r1,Kwale County,KE_County_2,,54,45
202312,Dec-23,202312,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,14,29
202312,Dec-23,202312,,jkG3zaihdSs,Nairobi County,KE_County_47,,59,270
202312,Dec-23,202312,,BoDytkJQ4Qi,Makueni County,KE_County_17,,20,99
202312,Dec-23,202312,,mYZacFNIB3h,Nyandarua County,KE_County_18,,16,19
202312,Dec-23,202312,,kqJ83J2D72s,Narok County,KE_County_33,,290,258
202312,Dec-23,202312,,JsH2bnvNt2d,Tana River County,KE_County_4,,708,525
202312,Dec-23,202312,,ihZsJ8alvtb,Kericho County,KE_County_35,,49,375
202312,Dec-23,202312,,HMNARUV2CW4,Bomet County,KE_County_36,,92,36
202312,Dec-23,202312,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,33,17
202312,Dec-23,202312,,XWALbfAPa6n,West Pokot County,KE_County_24,,86,138
202312,Dec-23,202312,,kphDeKClFch,Turkana County,KE_County_23,,851,777
202312,Dec-23,202312,,BjC1xL40gHo,Kakamega County,KE_County_37,,10892,4183
202412,Dec-24,202412,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,11287,4284
202412,Dec-24,202412,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,15,46
202412,Dec-24,202412,,N7YETT3A9r1,Kwale County,KE_County_2,,779,783
202412,Dec-24,202412,,sANMZ3lpqGs,Vihiga County,KE_County_38,,6211,2737
202412,Dec-24,202412,,vvOK1BxTbet,Baringo County,KE_County_30,,451,376
202412,Dec-24,202412,,HMNARUV2CW4,Bomet County,KE_County_36,,28,35
202412,Dec-24,202412,,NjWSbQTwys4,Lamu County,KE_County_5,,8,12
202412,Dec-24,202412,,Eey8fT4Im3y,Marsabit County,KE_County_10,,436,280
202412,Dec-24,202412,,wsBsC6gjHvn,Mombasa County,KE_County_1,,66,44
202412,Dec-24,202412,,Y52XNJ50hYb,Meru County,KE_County_12,,147,266
202412,Dec-24,202412,,j8o6iO4Njsi,Kitui County,KE_County_15,,484,591
202412,Dec-24,202412,,BoDytkJQ4Qi,Makueni County,KE_County_17,,803,956
202412,Dec-24,202412,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,81,72
202412,Dec-24,202412,,o36zCRjSd4G,Samburu County,KE_County_25,,121,118
202412,Dec-24,202412,,bzOfj0iwfDH,Isiolo County,KE_County_11,,44,102
202412,Dec-24,202412,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,314,348
202412,Dec-24,202412,,T4urHM47nlm,Tharaka Nithi County,KE_County_13,,199,339
202412,Dec-24,202412,,mThvosEflAU,Trans Nzoia County,KE_County_26,,62,149
202412,Dec-24,202412,,qKzosKQPl6G,Kiambu County,KE_County_22,,15,20
202412,Dec-24,202412,,u4t9H8XyU9P,Siaya County,KE_County_41,,15204,6219
202412,Dec-24,202412,,Tvf1zgVZ0K4,Busia County,KE_County_40,,11002,13002
202412,Dec-24,202412,,uepLTG8wGWJ,Nyamira County,KE_County_46,,1694,306
202412,Dec-24,202412,,tAbBVBbueqD,Kisumu County,KE_County_42,,9691,8413
202412,Dec-24,202412,,ob6SxuRcqU4,Nakuru County,KE_County_32,,258,352
202412,Dec-24,202412,,fVra3Pwta0Q,Migori County,KE_County_44,,5020,2821
202412,Dec-24,202412,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,14,10
202412,Dec-24,202412,,PFu8alU2KWG,Embu County,KE_County_14,,83,150
202412,Dec-24,202412,,xuFdFy6t9AH,Laikipia County,KE_County_31,,5,20
202412,Dec-24,202412,,yhCUgGcCcOo,Machakos County,KE_County_16,,21,32
202412,Dec-24,202412,,JsH2bnvNt2d,Tana River County,KE_County_4,,641,456
202412,Dec-24,202412,,nrI2khZx3d0,Kilifi County,KE_County_3,,1136,782
202412,Dec-24,202412,,ihZsJ8alvtb,Kericho County,KE_County_35,,218,388
202412,Dec-24,202412,,ahwTMNAJvrL,Muranga County,KE_County_21,,26,101
202412,Dec-24,202412,,t0J75eHKxz5,Nandi County,KE_County_29,,2,24
202412,Dec-24,202412,,XWALbfAPa6n,West Pokot County,KE_County_24,,421,301
202412,Dec-24,202412,,BjC1xL40gHo,Kakamega County,KE_County_37,,15407,6365
202412,Dec-24,202412,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,66,56
202412,Dec-24,202412,,R6f9znhg37c,Mandera County,KE_County_9,,337,674
202412,Dec-24,202412,,sPkRcDvhGWA,Kisii County,KE_County_45,,2415,1323
202412,Dec-24,202412,,uyOrcHZBpW0,Garissa County,KE_County_7,,109,101
202412,Dec-24,202412,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,13986,4298
202412,Dec-24,202412,,mYZacFNIB3h,Nyandarua County,KE_County_18,,2,3
202412,Dec-24,202412,,kphDeKClFch,Turkana County,KE_County_23,,1700,1629
202412,Dec-24,202412,,CeLsrJOH0g9,Wajir County,KE_County_8,,2,
202412,Dec-24,202412,,kqJ83J2D72s,Narok County,KE_County_33,,285,326
202102,Feb-21,202102,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,2,6
202102,Feb-21,202102,,j8o6iO4Njsi,Kitui County,KE_County_15,,4,1
202102,Feb-21,202102,,Eey8fT4Im3y,Marsabit County,KE_County_10,,164,111
202102,Feb-21,202102,,HMNARUV2CW4,Bomet County,KE_County_36,,,45
202102,Feb-21,202102,,vvOK1BxTbet,Baringo County,KE_County_30,,11,31
202102,Feb-21,202102,,kphDeKClFch,Turkana County,KE_County_23,,559,908
202102,Feb-21,202102,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,127,129
202102,Feb-21,202102,,PFu8alU2KWG,Embu County,KE_County_14,,78,20
202102,Feb-21,202102,,CeLsrJOH0g9,Wajir County,KE_County_8,,4,193
202102,Feb-21,202102,,o36zCRjSd4G,Samburu County,KE_County_25,,53,37
202102,Feb-21,202102,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,28,46
202102,Feb-21,202102,,sPkRcDvhGWA,Kisii County,KE_County_45,,326,533
202102,Feb-21,202102,,BoDytkJQ4Qi,Makueni County,KE_County_17,,31,39
202102,Feb-21,202102,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,,23
202102,Feb-21,202102,,JsH2bnvNt2d,Tana River County,KE_County_4,,345,234
202102,Feb-21,202102,,nrI2khZx3d0,Kilifi County,KE_County_3,,54,103
202102,Feb-21,202102,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,1924,2368
202102,Feb-21,202102,,uyOrcHZBpW0,Garissa County,KE_County_7,,649,347
202102,Feb-21,202102,,Tvf1zgVZ0K4,Busia County,KE_County_40,,3370,10099
202102,Feb-21,202102,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,958,974
202102,Feb-21,202102,,kqJ83J2D72s,Narok County,KE_County_33,,658,388
202102,Feb-21,202102,,bzOfj0iwfDH,Isiolo County,KE_County_11,,10,17
202102,Feb-21,202102,,mYZacFNIB3h,Nyandarua County,KE_County_18,,11,44
202102,Feb-21,202102,,R6f9znhg37c,Mandera County,KE_County_9,,80,120
202102,Feb-21,202102,,fVra3Pwta0Q,Migori County,KE_County_44,,1311,1066
202102,Feb-21,202102,,jkG3zaihdSs,Nairobi County,KE_County_47,,54,127
202102,Feb-21,202102,,BjC1xL40gHo,Kakamega County,KE_County_37,,2683,5735
202102,Feb-21,202102,,uepLTG8wGWJ,Nyamira County,KE_County_46,,766,46
202102,Feb-21,202102,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,2606,1283
202102,Feb-21,202102,,wsBsC6gjHvn,Mombasa County,KE_County_1,,55,76
202102,Feb-21,202102,,ihZsJ8alvtb,Kericho County,KE_County_35,,12,2
202102,Feb-21,202102,,Y52XNJ50hYb,Meru County,KE_County_12,,14,26
202102,Feb-21,202102,,mThvosEflAU,Trans Nzoia County,KE_County_26,,212,287
202102,Feb-21,202102,,t0J75eHKxz5,Nandi County,KE_County_29,,,1
202102,Feb-21,202102,,u4t9H8XyU9P,Siaya County,KE_County_41,,5744,4707
202102,Feb-21,202102,,sANMZ3lpqGs,Vihiga County,KE_County_38,,3799,1309
