periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Fevers,IDSR Other Viral Haemorrhagic Fevers Total,MOH 515 Rev 2020_Number of over 5 years cases with fever for less than 7 days,MOH 515 Rev 2020_Number of under 5 years cases with fever for less than 7 days,MOH_744A_No. of Neurological disorders
202408,August 2024,202408,,tvkI2HSIRW9,Matayos Sub County,KE_SubCounty_2976,,,,2548,1875,41
202408,August 2024,202408,,XvpLXU47BKs,Embakasi Central Sub County,KE_SubCounty_3145,,,,,119,236
202408,August 2024,202408,,cxjRPbvhjzr,Nyamira Sub County,KE_SubCounty_3181,,,,356,50,5
202408,August 2024,202408,,OZNRpww2TUK,Bomet East Sub County,KE_SubCounty_2961,,,,10,14,12
202408,August 2024,202408,,zGJ7QQlAMYD,Narok Central Sub County,3274,,,,52,167,
202408,August 2024,202408,,BjC1xL40gHo,Kakamega County,KE_County_37,,,,15376,6753,75
202408,August 2024,202408,,J69iWev2zwu,Lagdera Sub County,KE_SubCounty_2992,,,,2,,
202408,August 2024,202408,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,,,132,86,
202408,August 2024,202408,,xuFdFy6t9AH,Laikipia County,KE_County_31,,,,38,148,23
202408,August 2024,202408,,vSISrsNNHwq,Jomvu Sub County,KE_SubCounty_3131,,,,,4,
202408,August 2024,202408,,RAnL5kBKMIt,Kinangop Sub County,KE_SubCounty_3188,,,,,7,
202408,August 2024,202408,,nfJoTgKpwCg,Lamu Central Sub County,KE_SubCounty_3262,,,,,3,19
202408,August 2024,202408,,NrGORu301bx,Merti Sub County,KE_SubCounty_3005,,,,5,28,
202408,August 2024,202408,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,,,10788,3850,31
202408,August 2024,202408,,LRNmnMw1fBs,Seme Sub County,KE_SubCounty_3065,,,,348,303,1
202408,August 2024,202408,,zCCIu1Vi3Wh,Bonchari Sub County,KE_SubCounty_3061,,,,514,333,
202408,August 2024,202408,,vMPhBuymSKt,Kangundo Sub County,KE_SubCounty_3096,,,,,,2
202408,August 2024,202408,,sjlSPeRgl7d,Shinyalu Sub County,KE_SubCounty_3012,,,,1512,584,
202408,August 2024,202408,,Sq2fLWnOCGg,Aldai Sub County,KE_SubCounty_3171,,,,,205,
202408,August 2024,202408,,ZCYATXdLsL1,Mt Elgon Sub County,KE_SubCounty_2972,,,,352,85,
202408,August 2024,202408,,OOF3UX4yOt7,Vihiga Sub County,KE_SubCounty_3237,,,,767,700,14
202408,August 2024,202408,,t0J75eHKxz5,Nandi County,KE_County_29,,,,70,326,13
202408,August 2024,202408,,VDlzh6w4LKv,Kiharu Sub County,KE_SubCounty_3137,,,,,3,
202408,August 2024,202408,,bqtTmWcikTN,Baringo North Sub County,KE_SubCounty_2957,,,,2,1,
202408,August 2024,202408,,tAbBVBbueqD,Kisumu County,KE_County_42,,,,4183,5418,73
202408,August 2024,202408,,gh2kzpOFCeF,Mathare Sub County,KE_SubCounty_3139,,,,,16,
202408,August 2024,202408,,CUjthlounWV,Kanduyi Sub County,KE_SubCounty_2968,,,,1441,410,6
202408,August 2024,202408,,nHEr5EciFh0,Suna East Sub County,KE_SubCounty_3124,,,,533,208,8
202408,August 2024,202408,,fNROL0qm8De,Narok North Sub County,KE_SubCounty_3176,,,,30,34,
202408,August 2024,202408,,kBQIjtWUBqj,Nyakach Sub County,KE_SubCounty_3062,,,,163,211,4
202408,August 2024,202408,,ZNXf7qiVh3t,Tharaka North Sub County,KE_SubCounty_3212,,,,28,,
202408,August 2024,202408,,NmbwkQ5r5cB,Muhoroni Sub County,KE_SubCounty_3063,,,,190,149,
202408,August 2024,202408,,E7tkGikenbD,Githunguri Sub County,KE_SubCounty_3035,,,,8,13,
202408,August 2024,202408,,gLD3Q9fHpvy,Muthambi Sub County,KE_SubCounty_3259,,,,,4,
202408,August 2024,202408,,x6Z1sBeiyqQ,Eldas Sub County,KE_SubCounty_3239,,,,,3,
202408,August 2024,202408,,Xtb7tbJpk9p,Mosop Sub County,KE_SubCounty_3167,,,,40,66,
202408,August 2024,202408,,Lfxw0DfD4jN,Lamu West Sub County,KE_SubCounty_3089,,,,11,23,
202408,August 2024,202408,,xN5aPo4ZOIt,Buuri East Sub County,KE_SubCounty_3111,,,,1,2,
202408,August 2024,202408,,yhCUgGcCcOo,Machakos County,KE_County_16,,,,,1,84
202408,August 2024,202408,,U7KFQn3Up3o,Wajir South Sub County,KE_SubCounty_3238,,,,15,20,
202408,August 2024,202408,,O0xCBkXfQfe,Githurai Sub County,3297,,,,,12,
202408,August 2024,202408,,OvI6w06DhPJ,Changamwe Sub County,KE_SubCounty_3132,,,,25,47,
202408,August 2024,202408,,TPfcUHno8oP,Igembe Central Sub County,KE_SubCounty_3117,,,,2,3,
202408,August 2024,202408,,NPYRMdqrK6L,Tinderet Sub County,KE_SubCounty_3172,,,,,1,
202408,August 2024,202408,,zd8rhYqGowE,Turkana Central Sub County,KE_SubCounty_3223,,,,856,378,74
202408,August 2024,202408,,aCwUX5V42Zz,Embakasi West Sub County,KE_SubCounty_3143,,,,,9,
202408,August 2024,202408,,pXbWrnFPpKb,Laikipia West Sub County,KE_SubCounty_3087,,,,,69,
202408,August 2024,202408,,lGg3wEy784X,Malindi Sub County,KE_SubCounty_3042,,,,12,13,13
202408,August 2024,202408,,dr8gOvVAdiE,Turkana East Sub County,KE_SubCounty_3220,,,,7,11,
202408,August 2024,202408,,RJ4LGJiSHFg,Molo Sub County,KE_SubCounty_3166,,,,,3,
202408,August 2024,202408,,RScEHA3V38d,Fafi Sub County,KE_SubCounty_2990,,,,87,86,
202408,August 2024,202408,,nCziQtZ49jj,Lari Sub County,KE_SubCounty_3029,,,,,20,
202408,August 2024,202408,,N7YETT3A9r1,Kwale County,KE_County_2,,,6,1490,1391,67
202412,December 2024,202412,,GXnD5lHeanK,Nyeri Central Sub County,KE_SubCounty_3189,,,,,,82
202412,December 2024,202412,,wMv0s3U2nnG,Likuyani Sub County,KE_SubCounty_3021,,,,397,103,
202412,December 2024,202412,,EhchjCHkhJ9,Teso South Sub County,KE_SubCounty_2978,,,,908,414,
202412,December 2024,202412,,N7YETT3A9r1,Kwale County,KE_County_2,,,,779,783,64
202412,December 2024,202412,,wQ8XjZ7zVwL,Mwimbi Sub County,KE_SubCounty_3214,,,,23,37,
202412,December 2024,202412,,xN5aPo4ZOIt,Buuri East Sub County,KE_SubCounty_3111,,,,1,2,
202412,December 2024,202412,,OvI6w06DhPJ,Changamwe Sub County,KE_SubCounty_3132,,,,5,,
202412,December 2024,202412,,O0xCBkXfQfe,Githurai Sub County,3297,,,,14,14,
202412,December 2024,202412,,YzB2ZBCwKLa,Kadibo Sub County,KE_SubCounty_3298,,,,757,1111,
202412,December 2024,202412,,bnYzgzYe2Z7,Narok South Sub County,KE_SubCounty_3174,,,,41,110,
202412,December 2024,202412,,iK2Jk2AxhlD,Rangwe Sub County,KE_SubCounty_2999,Sub County,,,434,342,
202412,December 2024,202412,,NIVPdmQjQKg,Tigania Central Sub County,KE_SubCounty_3261,,,,59,108,
202412,December 2024,202412,,InECuIlzJGx,Ugenya Sub County,KE_SubCounty_3205,,,,1930,946,3
202412,December 2024,202412,,f3AcdRzgTwz,Manga Sub County,KE_SubCounty_3183,Sub County,,,655,49,
202412,December 2024,202412,,x7qUMtZZvo9,Ganze Sub County,KE_SubCounty_3043,,,,460,442,
202412,December 2024,202412,,ouA247cg58A,Narok West Sub County,KE_SubCounty_3173,,,2,,,
202412,December 2024,202412,,cooDDG3Lh3A,Bobasi Sub County,KE_SubCounty_3058,,,,26,32,
202412,December 2024,202412,,HMNARUV2CW4,Bomet County,KE_County_36,,,,28,35,9
202412,December 2024,202412,,Taw0Zg7nArd,Kipkelion West Sub County,KE_SubCounty_3027,,,,22,119,
202412,December 2024,202412,,dr8gOvVAdiE,Turkana East Sub County,KE_SubCounty_3220,,,,107,92,
202412,December 2024,202412,,fGr9rRvaovO,Mandera East Sub County,KE_SubCounty_3101,,,,86,167,
202412,December 2024,202412,,FGBNPr91pXH,Balambala Sub County,KE_SubCounty_2993,,,,,3,
202412,December 2024,202412,,rBKASpHJblX,Mwea Sub County,3266,,,,3,,
202412,December 2024,202412,,wwROy3Qkwin,Makadara Sub County,KE_SubCounty_3142,,,,,,1
202412,December 2024,202412,,lkYdgjRSOoE,Luanda Sub County,KE_SubCounty_3234,,,,1414,593,
202412,December 2024,202412,,j6fqt5TYqPZ,North Horr Sub County,KE_SubCounty_3108,,,,5,6,
202412,December 2024,202412,,jHmpQUlnkQk,Kirinyaga South Sub County,KE_SubCounty_3051,,,,2,8,
202412,December 2024,202412,,LOgbecTRkbp,Kinango Sub County,KE_SubCounty_3077,,,,56,101,
202412,December 2024,202412,,UhQS2Mv0PCK,Khwisero Sub County,KE_SubCounty_3013,,,,1214,241,
202412,December 2024,202412,,GpEIlwz3FvT,Teso North Sub County,KE_SubCounty_2979,,,,1106,6601,8
202412,December 2024,202412,,C1hO6wNOgrH,Kisauni Sub County,KE_SubCounty_3130,,,,38,20,
202412,December 2024,202412,,wsBsC6gjHvn,Mombasa County,KE_County_1,,,,66,44,57
202412,December 2024,202412,,NHRktMsAkO1,Samia Sub County,KE_SubCounty_2974,,,,1824,1242,
202412,December 2024,202412,,NhsAMiaS0TD,Rachuonyo South Sub County,KE_SubCounty_3002,,,,684,470,
202412,December 2024,202412,,EZraJgLdRLX,Marakwet East Sub County,KE_SubCounty_2982,,,,8,,
202412,December 2024,202412,,TnCu7j4XNj6,Samburu Sub County,,,,,132,133,
202412,December 2024,202412,,jkQZEow83MX,Bumula Sub County,KE_SubCounty_2969,,,,2459,810,
202412,December 2024,202412,,d3hSQ3EtnPk,Kitui South Sub County,KE_SubCounty_3069,,,,258,231,
202412,December 2024,202412,,zd8rhYqGowE,Turkana Central Sub County,KE_SubCounty_3223,,,,481,406,
202412,December 2024,202412,,KXM9VnhuLfP,Mwingi North Sub County,KE_SubCounty_3076,,,,70,217,
202412,December 2024,202412,,gSJXzH1DM75,Njoro Sub County,KE_SubCounty_3165,,,,8,4,
202412,December 2024,202412,,l5E6PiIUs1J,Ijara Sub County,KE_SubCounty_2988,One of the sub counties within Garissa County,,,27,32,
202412,December 2024,202412,,MYSShwNcjzb,Suba West Sub County,3265,,,,452,69,
202412,December 2024,202412,,nHEr5EciFh0,Suna East Sub County,KE_SubCounty_3124,,,,687,321,4
202412,December 2024,202412,,K7mZpm8COh7,Butere Sub County,KE_SubCounty_3014,,,,1674,659,
202412,December 2024,202412,,yoGLpCTgjed,Voi Sub County,KE_SubCounty_3206,,,,,,24
202412,December 2024,202412,,sZjPgbWI5ra,Moyale Sub County,KE_SubCounty_3109,,,,59,55,
202412,December 2024,202412,,ldZ10N9unC9,Samburu East Sub County,KE_SubCounty_3197,,,,23,26,
202412,December 2024,202412,,bzOfj0iwfDH,Isiolo County,KE_County_11,,,5,44,102,
202412,December 2024,202412,,Yl9UDBnDvvW,Koibatek Sub County,KE_SubCounty_2953,,,,19,22,
202412,December 2024,202412,,NmbwkQ5r5cB,Muhoroni Sub County,KE_SubCounty_3063,,,,1550,1165,1
202412,December 2024,202412,,eyADpAXM834,Loitokitok Sub County,KE_SubCounty_3006,,,,182,205,
202412,December 2024,202412,,Cu46otDi1RO,Alego Usonga Sub County,KE_SubCounty_3203,,,,3952,1621,67
202412,December 2024,202412,,TPfcUHno8oP,Igembe Central Sub County,KE_SubCounty_3117,,,,12,10,
202412,December 2024,202412,,AM36DdkZ36Y,Wundanyi Sub County,KE_SubCounty_3208,,,,43,37,
202412,December 2024,202412,,g6gTzQ5nfYq,Kajiado East Sub County,KE_SubCounty_3008,,,,10,9,
202412,December 2024,202412,,dSLnPmNlm8Q,Marigat Sub County,KE_SubCounty_2955,,,,10,28,
202412,December 2024,202412,,EW4Jw4dVWBt,Dadaab Sub County,KE_SubCounty_2991,,,,42,34,
202412,December 2024,202412,,k1mze33jOs0,Kabuchai Sub County,KE_SubCounty_2970,,,,1634,537,
202412,December 2024,202412,,xWAZBULwGxp,Kilifi South Sub County,KE_SubCounty_3046,,,,365,34,
202412,December 2024,202412,,lGg3wEy784X,Malindi Sub County,KE_SubCounty_3042,,,,,15,9
202412,December 2024,202412,,OK0hW8DFHq3,Rongai Sub County,KE_SubCounty_3159,,,,18,22,
202412,December 2024,202412,,A6Sj8RumZ0m,Nyaribari Masaba Sub County,KE_SubCounty_3056,,,,104,126,
202412,December 2024,202412,,k7Rj54u6dMx,Baringo Central Sub County,KE_SubCounty_2956,,,,10,15,5
202412,December 2024,202412,,zCCIu1Vi3Wh,Bonchari Sub County,KE_SubCounty_3061,,,,567,313,
202412,December 2024,202412,,urtJSF5jcBC,Sabatia Sub County,KE_SubCounty_3236,,,,1130,626,
202412,December 2024,202412,,THm2tCJa2ZQ,Kuria East Sub County,KE_SubCounty_3119,,,,235,406,
202412,December 2024,202412,,fT37q3rXQ35,Rongo Sub County,KE_SubCounty_3126,,,,732,166,
202412,December 2024,202412,,aqYhbqKclsI,Webuye West Sub County,KE_SubCounty_2966,,,,908,355,
202412,December 2024,202412,,HK5SUCMQmsw,Turkana West Sub County,KE_SubCounty_3224,,,,152,242,
202412,December 2024,202412,,f4AOiG8fYtn,Webuye East Sub County,KE_SubCounty_2967,,,,1268,375,
202412,December 2024,202412,,iRK9uABUTVZ,Nyando Sub County,KE_SubCounty_3064,,,,921,1663,
202412,December 2024,202412,,SCbMzaOeTuR,Pokot Central Sub County,KE_SubCounty_3246,,,,4,30,
202412,December 2024,202412,,u4t9H8XyU9P,Siaya County,KE_County_41,,,,15204,6219,70
202412,December 2024,202412,,CUjthlounWV,Kanduyi Sub County,KE_SubCounty_2968,,,,1785,694,7
202412,December 2024,202412,,Q4xAPhWUnYC,Tigania West Sub County,KE_SubCounty_3115,,,,11,32,
202412,December 2024,202412,,kBQIjtWUBqj,Nyakach Sub County,KE_SubCounty_3062,,,,1217,1112,
202412,December 2024,202412,,uepLTG8wGWJ,Nyamira County,KE_County_46,,,,1694,306,
202412,December 2024,202412,,tAbBVBbueqD,Kisumu County,KE_County_42,,,,9691,8413,76
202412,December 2024,202412,,ob6SxuRcqU4,Nakuru County,KE_County_32,,,,258,352,294
202412,December 2024,202412,,fVra3Pwta0Q,Migori County,KE_County_44,,,,5020,2821,4
202412,December 2024,202412,,gLD3Q9fHpvy,Muthambi Sub County,KE_SubCounty_3259,,,,,2,
202412,December 2024,202412,,jxjGWCdfsib,Mbooni Sub County,KE_SubCounty_3084,,,,330,340,
202412,December 2024,202412,,LRNmnMw1fBs,Seme Sub County,KE_SubCounty_3065,,,,2499,1144,64
202412,December 2024,202412,,tvkI2HSIRW9,Matayos Sub County,KE_SubCounty_2976,,,,2190,1689,9
202412,December 2024,202412,,toa2Hl7iVQI,Kibwezi West Sub County,KE_SubCounty_3081,,,,113,166,
202412,December 2024,202412,,RScEHA3V38d,Fafi Sub County,KE_SubCounty_2990,,,,40,32,
202412,December 2024,202412,,x6Z1sBeiyqQ,Eldas Sub County,KE_SubCounty_3239,,,,2,,
202412,December 2024,202412,,OZNRpww2TUK,Bomet East Sub County,KE_SubCounty_2961,,,,9,25,9
202412,December 2024,202412,,aTGYlhEw2Xx,Langata Sub County,KE_SubCounty_3152,,,,,,44
202412,December 2024,202412,,bqtTmWcikTN,Baringo North Sub County,KE_SubCounty_2957,,,,1,2,
202412,December 2024,202412,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,,,14,10,
202412,December 2024,202412,,Cc8uEFkzfVf,Ruaraka Sub County,KE_SubCounty_3148,,,,,,6
202412,December 2024,202412,,LpwqSz9xMIj,Kipkomo Sub County,KE_SubCounty_3263,,,,57,32,
202412,December 2024,202412,,ETGSIeGBsqt,Ithanga Sub County,,,,,17,56,
202412,December 2024,202412,,nsfbHBS9tMT,Lafey Sub County,KE_SubCounty_3100,,,,12,23,
202412,December 2024,202412,,FBteTV1eqB6,Mumias East Sub County,KE_SubCounty_3016,,,,1813,644,
202412,December 2024,202412,,zI6vnsXresW,Bunyala Sub County,KE_SubCounty_2973,,,,737,638,
202412,December 2024,202412,,H5RvDZkoDJL,Mandera West Sub County,KE_SubCounty_3105,,,,36,57,
202412,December 2024,202412,,xuFdFy6t9AH,Laikipia County,KE_County_31,,,,5,20,8
202412,December 2024,202412,,pXbWrnFPpKb,Laikipia West Sub County,KE_SubCounty_3087,,,,2,,
202412,December 2024,202412,,yhCUgGcCcOo,Machakos County,KE_County_16,,,,21,32,74
202412,December 2024,202412,,XAy1bjurhLU,Kilome Sub County,KE_SubCounty_3083,,,,193,127,
202412,December 2024,202412,,vSISrsNNHwq,Jomvu Sub County,KE_SubCounty_3131,,,,4,4,
202412,December 2024,202412,,k5sxmlXAtIg,Mogotio Sub County,KE_SubCounty_2954,,,,23,16,
202412,December 2024,202412,,Z7ALMtFNfeZ,Gatanga Sub County,KE_SubCounty_3133,,,,,3,
202412,December 2024,202412,,GshNTMZJ5r1,Ainamoi Sub County,KE_SubCounty_3026,,,,46,56,31
202412,December 2024,202412,,ABy8CNqf2e7,Kwanza Sub County,KE_SubCounty_3219,,,,6,20,
202412,December 2024,202412,,wt8cPHWfkfu,Bureti Sub County,KE_SubCounty_3025,,,,40,32,
202412,December 2024,202412,,Sq2fLWnOCGg,Aldai Sub County,KE_SubCounty_3171,,,,,22,
202412,December 2024,202412,,KyuSYunELJI,Sotik Sub County,KE_SubCounty_2963,,,,17,5,
202412,December 2024,202412,,Lj0mu9j58Ss,Garsen Sub County,KE_SubCounty_3250,,,,272,156,
202412,December 2024,202412,,fNROL0qm8De,Narok North Sub County,KE_SubCounty_3176,,,,3,5,
202412,December 2024,202412,,RIBiZFJxB1K,Butula Sub County,KE_SubCounty_2975,,,,2008,1310,
202412,December 2024,202412,,t0J75eHKxz5,Nandi County,KE_County_29,,,,2,24,25
202412,December 2024,202412,,SLPIfy5xLqW,Embu North Sub County,KE_SubCounty_3296,,,,3,,
202412,December 2024,202412,,Nb6e34jNGAq,Transmara West Sub County,KE_SubCounty_3178,,,,66,9,
202412,December 2024,202412,,uRl5fBkhpcE,Mumias West Sub County,KE_SubCounty_3017,,,,1433,793,6
202412,December 2024,202412,,MWqQbxWqACn,Kitui Central Sub County,KE_SubCounty_3071,,,,1,8,6
202412,December 2024,202412,,EmQRGVtvWy3,Samburu Central Sub County,KE_SubCounty_3199,,,,41,57,
202412,December 2024,202412,,fmsyW02tPng,Rachuonyo North  Sub County,KE_SubCounty_3000,,,,2677,826,
202412,December 2024,202412,,Lpy789vqRC6,Emuhaya Sub County,KE_SubCounty_3233,,,,1589,492,
202412,December 2024,202412,,gU0Cz7Qlfss,Kipkelion East Sub County,KE_SubCounty_3028,,,,51,58,
202412,December 2024,202412,,AvnM6jKoocs,Mbeere South Sub County,KE_SubCounty_2985,SUB COUNTY,,,15,20,16
202412,December 2024,202412,,wUNEDOnx9uB,Matuga Sub County,KE_SubCounty_3078,,,,33,89,55
202412,December 2024,202412,,gPR82w2xgJZ,Kitutu Chache South Sub County,KE_SubCounty_3053,,,,334,97,
202412,December 2024,202412,,f18kGo9yXWo,Cherangany Sub County,KE_SubCounty_3215,,,,38,89,
202412,December 2024,202412,,BjC1xL40gHo,Kakamega County,KE_County_37,,,,15407,6365,10
202412,December 2024,202412,,JNvqpOnKfGR,Bondo Sub County,KE_SubCounty_3201,,,,1967,813,
202412,December 2024,202412,,ka9Uv3Ckcbd,Awendo Sub County,KE_SubCounty_3125,,,,413,212,
202412,December 2024,202412,,q8R0FA1hxnP,Moiben Sub County,KE_SubCounty_3230,,,,7,13,
202412,December 2024,202412,,E2DGjZRlwbY,Samburu North Sub County,KE_SubCounty_3198,,,,57,35,
202412,December 2024,202412,,QyGNX2DpR4h,Taita Taveta County,KE_County_6,,,,66,56,24
202412,December 2024,202412,,e1J7R103h8I,Nambale Sub County,KE_SubCounty_2977,,,,1330,774,
202412,December 2024,202412,,R6f9znhg37c,Mandera County,KE_County_9,,,,337,674,
202412,December 2024,202412,,zGJ7QQlAMYD,Narok Central Sub County,3274,,,,117,85,
202412,December 2024,202412,,iyOe3zltlp6,Teso Central Sub County,3276,,,,899,334,
202412,December 2024,202412,,AphsS3lJwKU,Kimilili Sub County,KE_SubCounty_2965,,,,1144,203,
202412,December 2024,202412,,ecl4YnDebUi,Garbatulla Sub County,KE_SubCounty_3003,,,,33,39,
202412,December 2024,202412,,sPkRcDvhGWA,Kisii County,KE_County_45,,,,2415,1323,20
202412,December 2024,202412,,A4SNYCxrrnv,Galole Sub County,KE_SubCounty_3248,,,,271,105,
202412,December 2024,202412,,sqNWYDHZZ6W,Dagoretti South Sub County,KE_SubCounty_3153,,,,,,41
202412,December 2024,202412,,rlWH0Ac9vjc,Keiyo North Sub County,KE_SubCounty_2981,,,,2,,
202412,December 2024,202412,,lmr1q6dTaso,Soy Sub County,KE_SubCounty_3232,,,,4,1,
202412,December 2024,202412,,SZapM1R0Kti,Kajiado Central Sub County,KE_SubCounty_3009,,,,12,10,14
202412,December 2024,202412,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,,,13986,4298,7
202412,December 2024,202412,,m9nsQ1MXlVU,Ugunja Sub County,KE_SubCounty_3204,,,,1457,706,
202412,December 2024,202412,,BXaq5PxSfz2,Hamisi Sub County,KE_SubCounty_3235,,,,1197,506,
202412,December 2024,202412,,whWfFA9D7td,Sirisia Sub County,KE_SubCounty_2971,,,,2015,727,
202412,December 2024,202412,,YnIAWg1T4AY,Belgut Sub County,KE_SubCounty_3024,,,,47,40,
202412,December 2024,202412,,hCvlJNjyZna,Banissa Sub County,KE_SubCounty_3104,,,,45,108,
202412,December 2024,202412,,cmWAJB5kCDW,Kitui West Sub County,KE_SubCounty_3073,,,,,18,
202412,December 2024,202412,,kphDeKClFch,Turkana County,KE_County_23,,,,1700,1629,
202412,December 2024,202412,,CeLsrJOH0g9,Wajir County,KE_County_8,,,,2,,1
202412,December 2024,202412,,IPOMRXiYjxr,Embu west (Manyatta) Sub County,KE_SubCounty_2987,,,,,23,24
202412,December 2024,202412,,kqJ83J2D72s,Narok County,KE_County_33,,,2,285,326,
202412,December 2024,202412,,Qn5Fff2lIDz,Masaba North Sub County,KE_SubCounty_3182,,,,99,32,
202412,December 2024,202412,,MEkEH8ZmcOU,Kilifi North Sub County,KE_SubCounty_3047,Sub County,,,61,175,18
202412,December 2024,202412,,l46g2PZUjoh,Muranga South Sub County,KE_SubCounty_3135,,,,9,42,
202412,December 2024,202412,,XlYC8FMUgxi,Buuri West Sub County,KE_SubCounty_3260,,,,23,8,
202412,December 2024,202412,,G6PJ5kFVAuO,Navakholo Sub County,KE_SubCounty_3018,,,,1272,576,
202412,December 2024,202412,,IBDoGsLdhvt,Mwatate Sub County,KE_SubCounty_3207,,,,20,9,
202412,December 2024,202412,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,,,11287,4284,
202412,December 2024,202412,,pZqQRRW7PHP,Uasin Gishu County,KE_County_27,,,,15,46,88
202412,December 2024,202412,,CeukNtGhW7J,Yatta Sub County,KE_SubCounty_3097,,,,21,32,
202412,December 2024,202412,,ZNXf7qiVh3t,Tharaka North Sub County,KE_SubCounty_3212,,,,,48,
202412,December 2024,202412,,uov0yFMw9Qm,Wajir East Sub County,KE_SubCounty_3242,,,,,,1
202412,December 2024,202412,,sANMZ3lpqGs,Vihiga County,KE_County_38,,,,6211,2737,10
202412,December 2024,202412,,vvOK1BxTbet,Baringo County,KE_County_30,,,,451,376,5
202412,December 2024,202412,,cQkF9l9wePP,Kitutu Chache North Sub County,KE_SubCounty_3054,,,,338,100,
202412,December 2024,202412,,aDp1odOWYC1,Embakasi South Sub County,KE_SubCounty_3147,,,,,,8
202412,December 2024,202412,,D2lsuEzZAJP,Nyatike Sub County,KE_SubCounty_3121,,,,909,536,
202412,December 2024,202412,,mCGytMcMf6y,Suba North Sub County,KE_SubCounty_2996,,,,993,345,
202412,December 2024,202412,,C1xuoa1NAMm,Mvita Sub County,KE_SubCounty_3127,,,,,,57
202412,December 2024,202412,,PKeFksHlJkB,Gem Sub County,KE_SubCounty_3202,,,,2999,1085,
202412,December 2024,202412,,RJyUfi5BQUm,Laikipia North Sub County,KE_SubCounty_3085,,,,3,20,
202412,December 2024,202412,,VtuwXD7O1O9,Suna West Sub County,KE_SubCounty_3123,,,,583,299,
202412,December 2024,202412,,NZphHeczehh,Cheptais Sub County,KE_SubCounty_1289,,,,882,198,
202412,December 2024,202412,,pzZHpL2ueIn,Kiminini Sub County,KE_SubCounty_3216,,,,11,19,
202412,December 2024,202412,,NjWSbQTwys4,Lamu County,KE_County_5,,,,8,12,
202412,December 2024,202412,,WHG67QCDRS9,South Mugirango Sub County,KE_SubCounty_3060,,,,545,286,
202412,December 2024,202412,,BE6HMtlHyl1,Ikolomani Sub County,KE_SubCounty_3011,,,,613,147,
202412,December 2024,202412,,ABuzigW8Lzw,Borabu Sub County,KE_SubCounty_3179,,,,105,15,
202412,December 2024,202412,,Eey8fT4Im3y,Marsabit County,KE_County_10,,,,436,280,11
202412,December 2024,202412,,BDxUGx86itV,Imenti North Sub County,KE_SubCounty_3113,,,,,,12
202412,December 2024,202412,,yZJJPoSGhY6,Naivasha Sub County,KE_SubCounty_3164,,,,46,69,14
202412,December 2024,202412,,SBz4c48i24Y,Kiambu Town Sub County,KE_SubCounty_3034,,,,,,9
202412,December 2024,202412,,Y52XNJ50hYb,Meru County,KE_County_12,,,,147,266,12
202412,December 2024,202412,,j8o6iO4Njsi,Kitui County,KE_County_15,,,,484,591,6
202412,December 2024,202412,,BoDytkJQ4Qi,Makueni County,KE_County_17,,,,803,956,
202412,December 2024,202412,,xAl2ixfcOFU,Transmara South Sub County,3275,,,,40,40,
202412,December 2024,202412,,ZhhyithPNoI,Kibwezi East Sub County,KE_SubCounty_3099,,,,77,45,
202412,December 2024,202412,,HoRW5aISmiD,Suba South Sub County,KE_SubCounty_2995,,,,2028,786,
202412,December 2024,202412,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,,,81,72,
202412,December 2024,202412,,o36zCRjSd4G,Samburu County,KE_County_25,,,,121,118,
202412,December 2024,202412,,AFIlzKNxXST,Imenti South Sub County,KE_SubCounty_3110,,,,13,40,
202412,December 2024,202412,,v5qbFUgfIoF,Nyamira North Sub County,KE_SubCounty_3180,,,,519,163,
202412,December 2024,202412,,KuprsuBe1l0,Turbo Sub County,KE_SubCounty_3231,,,,2,22,
202412,December 2024,202412,,G9DoZvSdGLx,Igembe North Sub County,KE_SubCounty_3116,,,,,10,
202412,December 2024,202412,,QBwORnYdu0e,Kuresoi North Sub County,KE_SubCounty_3161,,,,18,35,
202412,December 2024,202412,,tSKDWoVKiPo,Kaloleni Sub County,KE_SubCounty_3045,,,,180,3,
202412,December 2024,202412,,Lfxw0DfD4jN,Lamu West Sub County,KE_SubCounty_3089,,,,5,10,
202412,December 2024,202412,,mWpq607yRXh,Turkana North Sub County,KE_SubCounty_3225,,,,42,231,
202412,December 2024,202412,,jrm0uyLXnC1,Mandera North Sub County,KE_SubCounty_3103,,,,30,104,
202412,December 2024,202412,,JKNaaTjVapG,Kirinyaga Central Sub County,KE_SubCounty_3048,,,,2,,
202412,December 2024,202412,,u2zJahNiSP5,Pokot South Sub County,KE_SubCounty_3244,,,,18,5,
202412,December 2024,202412,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,,,314,348,14
202412,December 2024,202412,,cxjRPbvhjzr,Nyamira Sub County,KE_SubCounty_3181,,,,316,47,
202412,December 2024,202412,,KMWrMZrlO5u,Magarini Sub County,KE_SubCounty_3041,,,,6,58,
202412,December 2024,202412,,NrGORu301bx,Merti Sub County,KE_SubCounty_3005,,,,5,44,
